"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"أَثْخَن"|"ث خ ن"|"أَثْخَن"|"ث خ ن"|"IV"|"2"|"to battle, to subdue"|"ten strijde, onderwerpen"|"savaşmak, bastırmak"|"NL"|"TR"
"ثُقِفُ"|"ث ق ف"|"ثُقِفُ"|"ث ق ف"|"I"|"6"|"to find, to gain dominance"|"vinden, om dominantie te krijgen"|"bulmak, egemenlik kazanmak"|"NL"|"TR"
"ثَقُلَتْ"|"ث ق ل"|"ثَقُلَتْ"|"ث ق ل"|"I"|"4"|"to be heavy"|"zwaar zijn"|"ağır olmak"|"NL"|"TR"
"أَثْقَلَت"|"ث ق ل"|"أَثْقَلَت"|"ث ق ل"|"IV"|"1"|"to be heavy"|"zwaar zijn"|"ağır olmak"|"NL"|"TR"
"ٱثَّاقَلْ"|"ث ق ل"|"ٱثَّاقَلْ"|"ث ق ل"|"VI"|"1"|"to be heavy"|"zwaar zijn"|"ağır olmak"|"NL"|"TR"
"أَثْمَرَ"|"ث م ر"|"أَثْمَرَ"|"ث م ر"|"IV"|"2"|"to bear fruit"|"vruchten af ​​te werpen"|"meyvelerini vermek"|"NL"|"TR"
"يَثْنُ"|"ث ن ي"|"يَثْنُ"|"ث ن ي"|"I"|"1"|"to fold up"|"opvouwen"|"katlamak"|"NL"|"TR"
"يَسْتَثْنُ"|"ث ن ي"|"يَسْتَثْنُ"|"ث ن ي"|"X"|"1"|"to except"|"om behalve"|"dışında tutmak"|"NL"|"TR"
"ثُوِّبَ"|"ث و ب"|"ثُوِّبَ"|"ث و ب"|"II"|"1"|"to reward"|"belonen"|"ödüllendirmek"|"NL"|"TR"
"أَثَٰبَ"|"ث و ب"|"أَثَٰبَ"|"ث و ب"|"IV"|"3"|"to reward"|"belonen"|"ödüllendirmek"|"NL"|"TR"
"أَثَارُ"|"ث و ر"|"أَثَارُ"|"ث و ر"|"IV"|"5"|"to raise, to plough"|"verhogen, ploegen"|"yükseltmek, toprağı sürmek"|"NL"|"TR"
"يَجْـَٔرُ"|"ج ا ر"|"يَجْـَٔرُ"|"ج ا ر"|"I"|"3"|"to cry for help"|"huilen om hulp"|"yardım için ağlamak"|"NL"|"TR"
"يُجْبَىٰٓ"|"ج ب ي"|"يُجْبَىٰٓ"|"ج ب ي"|"I"|"1"|"to bring, to gather"|"brengen, verzamelen"|"getirmek, toplamak"|"NL"|"TR"
"ٱجْتَبَىٰ"|"ج ب ي"|"ٱجْتَبَىٰ"|"ج ب ي"|"VIII"|"10"|"to choose"|"kiezen"|"seçmek"|"NL"|"TR"
"ٱجْتُثَّتْ"|"ج ث ث"|"ٱجْتُثَّتْ"|"ج ث ث"|"VIII"|"1"|"to uproot"|"ontwortelen"|"kökünü kazımak"|"NL"|"TR"
"جَحَدُ"|"ج ح د"|"جَحَدُ"|"ج ح د"|"I"|"12"|"to reject, to deny"|"weigeren, ontkennen"|"reddetmek, reddetmek"|"NL"|"TR"
"جَٰدَلُ"|"ج د ل"|"جَٰدَلُ"|"ج د ل"|"III"|"25"|"to argue, to dispute"|"argumenteren, betwisten"|"tartışmak, tartışmak"|"NL"|"TR"
"جَرَحْ"|"ج ر ح"|"جَرَحْ"|"ج ر ح"|"I"|"1"|"to commit"|"committeren"|"işlemek"|"NL"|"TR"
"ٱجْتَرَحُ"|"ج ر ح"|"ٱجْتَرَحُ"|"ج ر ح"|"VIII"|"1"|"to commit"|"committeren"|"işlemek"|"NL"|"TR"
"يَجُرُّ"|"ج ر ر"|"يَجُرُّ"|"ج ر ر"|"I"|"1"|"to drag"|"slepen"|"sürümek"|"NL"|"TR"
"يَتَجَرَّعُ"|"ج ر ع"|"يَتَجَرَّعُ"|"ج ر ع"|"V"|"1"|"to sip"|"nippen"|"yudumlamak"|"NL"|"TR"
"يَجْرِمَ"|"ج ر م"|"يَجْرِمَ"|"ج ر م"|"I"|"3"|"to let incite"|"laten aanzetten"|"tahrik edilmek"|"NL"|"TR"
"أَجْرَمُ"|"ج ر م"|"أَجْرَمُ"|"ج ر م"|"IV"|"5"|"to commit crime"|"misdaad plegen"|"suç işlemek"|"NL"|"TR"
"جَرَيْ"|"ج ر ي"|"جَرَيْ"|"ج ر ي"|"I"|"57"|"to flow, to run"|"stromen, draaien"|"akmak, koşmak"|"NL"|"TR"
"جَزِعْ"|"ج ز ع"|"جَزِعْ"|"ج ز ع"|"I"|"1"|"to show intolerance, to be perturbed"|"intolerantie vertonen, worden verstoord"|"hoşgörüsüzlüğü göstermek, tedirgin olmak"|"NL"|"TR"
"جَزَىٰ"|"ج ز ي"|"جَزَىٰ"|"ج ز ي"|"I"|"73"|"to reward, to recompense"|"belonen, vergelden"|"ödüllendirmek, karşılığını vermek"|"NL"|"TR"
"نُجَٰزِىٓ"|"ج ز ي"|"نُجَٰزِىٓ"|"ج ز ي"|"III"|"1"|"to recompense"|"vergelden"|"karşılığını vermek"|"NL"|"TR"
"تَجَسَّسُ"|"ج س س"|"تَجَسَّسُ"|"ج س س"|"V"|"1"|"to spy"|"bespioneren"|"casusluk yapmak"|"NL"|"TR"
"جَعَلَ"|"ج ع ل"|"جَعَلَ"|"ج ع ل"|"I"|"340"|"to make"|"maken"|"yapmak"|"NL"|"TR"
"تَتَجَافَىٰ"|"ج ف و"|"تَتَجَافَىٰ"|"ج ف و"|"I"|"1"|"to forsake"|"verzaken/verlaten"|"terketmek"|"NL"|"TR"
"أَجْلِبْ"|"ج ل ب"|"أَجْلِبْ"|"ج ل ب"|"IV"|"1"|"to raise"|"verhogen"|"yükseltmek"|"NL"|"TR"
"ٱجْلِدُ"|"ج ل د"|"ٱجْلِدُ"|"ج ل د"|"I"|"2"|"to flog"|"geselen"|"kamçılamak"|"NL"|"TR"
"تَجَلَّىٰ"|"ج ل و"|"تَجَلَّىٰ"|"ج ل و"|"I"|"2"|"to reveal"|"onthullen"|"ortaya çıkarmak"|"NL"|"TR"
"جَلَّىٰ"|"ج ل و"|"جَلَّىٰ"|"ج ل و"|"II"|"2"|"to reveal"|"onthullen"|"ortaya çıkarmak"|"NL"|"TR"
"يَجْمَحُ"|"ج م ح"|"يَجْمَحُ"|"ج م ح"|"I"|"1"|"to run wild"|"verwaarloosd worden"|"başıboş kalmak"|"NL"|"TR"
"جَمَعَ"|"ج م ع"|"جَمَعَ"|"ج م ع"|"I"|"22"|"to gather, to collect"|"verzamelen, verzamelen"|"toplamak, toplamak"|"NL"|"TR"
"أَجْمَعُ"|"ج م ع"|"أَجْمَعُ"|"ج م ع"|"IV"|"4"|"to resolve, to agree, to put together"|"oplossen, instemmen, in elkaar te zetten"|"çözmek, kabul etmek, bir araya koymak"|"NL"|"TR"
"ٱجْتَمَعُ"|"ج م ع"|"ٱجْتَمَعُ"|"ج م ع"|"VIII"|"2"|"to gather"|"verzamelen"|"toplamak"|"NL"|"TR"
"ٱجْنُبْ"|"ج ن ب"|"ٱجْنُبْ"|"ج ن ب"|"I"|"1"|"to keep away"|"weghouden"|"uzak tutmak"|"NL"|"TR"
"يُجَنَّبُ"|"ج ن ب"|"يُجَنَّبُ"|"ج ن ب"|"II"|"1"|"to remove from"|"verwijderen uit"|"kaldırmak"|"NL"|"TR"
"يَتَجَنَّبُ"|"ج ن ب"|"يَتَجَنَّبُ"|"ج ن ب"|"V"|"1"|"to avoid"|"vermijden"|"kaçınmak"|"NL"|"TR"
"ٱجْتَنَبُ"|"ج ن ب"|"ٱجْتَنَبُ"|"ج ن ب"|"VIII"|"9"|"to avoid"|"vermijden"|"kaçınmak"|"NL"|"TR"
"جَنَحُ"|"ج ن ح"|"جَنَحُ"|"ج ن ح"|"I"|"2"|"to incline"|"neigen"|"meyletmek"|"NL"|"TR"
"جَنَّ"|"ج ن ن"|"جَنَّ"|"ج ن ن"|"I"|"1"|"to cover"|"bedekken"|"kapsamak"|"NL"|"TR"
"جَٰهَدَ"|"ج ه د"|"جَٰهَدَ"|"ج ه د"|"III"|"27"|"to strive"|"streven"|"gayret etmek"|"NL"|"TR"
"جَهَرَ"|"ج ه ر"|"جَهَرَ"|"ج ه ر"|"I"|"5"|"to speak loudly"|"luid spreken"|"yüksek sesle konuşmak"|"NL"|"TR"
"جَهَّزَ"|"ج ه ز"|"جَهَّزَ"|"ج ه ز"|"II"|"2"|"to furnish"|"verstrekken"|"vermek"|"NL"|"TR"
"يَجْهَلُ"|"ج ه ل"|"يَجْهَلُ"|"ج ه ل"|"I"|"5"|"to be ignorant"|"onwetend zijn"|"cahil olmak"|"NL"|"TR"
"جَابُ"|"ج و ب"|"جَابُ"|"ج و ب"|"I"|"1"|"to carve"|"snijden"|"bölmek"|"NL"|"TR"
"أُجِيبَت"|"ج و ب"|"أُجِيبَت"|"ج و ب"|"IV"|"8"|"to answer, to respond"|"beantwoorden, reageren"|"cevaplamak, yanıtlamak"|"NL"|"TR"
"ٱسْتَجَابَ"|"ج و ب"|"ٱسْتَجَابَ"|"ج و ب"|"X"|"28"|"to answer, to respond"|"beantwoorden, reageren"|"cevaplamak, cevaplamak"|"NL"|"TR"
"يُجَاوِرُ"|"ج و ر"|"يُجَاوِرُ"|"ج و ر"|"III"|"1"|"to be neighbours"|"buren zijn"|"komşu olmak"|"NL"|"TR"
"يُجِيرُ"|"ج و ر"|"يُجِيرُ"|"ج و ر"|"IV"|"6"|"to protect"|"beschermen"|"korumak"|"NL"|"TR"
"ٱسْتَجَارَ"|"ج و ر"|"ٱسْتَجَارَ"|"ج و ر"|"X"|"1"|"to seek protection"|"bescherming zoeken"|"koruma aramak"|"NL"|"TR"
"جَاوَزَ"|"ج و ز"|"جَاوَزَ"|"ج و ز"|"III"|"4"|"to cross, to pass beyond"|"oversteken, voorbij passeren"|"geçmek, ötesine geçmek"|"NL"|"TR"
"نَتَجَاوَزُ"|"ج و ز"|"نَتَجَاوَزُ"|"ج و ز"|"VI"|"1"|"to overlook"|"om over het hoofd zien"|"kaçırmak"|"NL"|"TR"
"جَاسُ"|"ج و س"|"جَاسُ"|"ج و س"|"I"|"1"|"to enter"|"binnengaan"|"girmek"|"NL"|"TR"
"تَجُوعَ"|"ج و ع"|"تَجُوعَ"|"ج و ع"|"I"|"1"|"to be hungry"|"hongerig zijn"|"aç olmak"|"NL"|"TR"
"جَآءَ"|"ج ي ا"|"جَآءَ"|"ج ي ا"|"I"|"278"|"to come"|"komen"|"gelmek"|"NL"|"TR"
"حَبَّبَ"|"ح ب ب"|"حَبَّبَ"|"ح ب ب"|"II"|"1"|"to endear"|"bemind maken"|"sevdirmek"|"NL"|"TR"
"أَحْبَبْ"|"ح ب ب"|"أَحْبَبْ"|"ح ب ب"|"IV"|"64"|"to love, to like"|"lief hebben, willen"|"sevmek, beğenmek"|"NL"|"TR"
"ٱسْتَحَبُّ"|"ح ب ب"|"ٱسْتَحَبُّ"|"ح ب ب"|"X"|"4"|"to prefer"|"voorkeur geven"|"tercih etmek"|"NL"|"TR"
"يُحْبَرُ"|"ح ب ر"|"يُحْبَرُ"|"ح ب ر"|"I"|"2"|"to delight"|"verrukken"|"sevindirmek"|"NL"|"TR"
"يَحْبِسُ"|"ح ب س"|"يَحْبِسُ"|"ح ب س"|"I"|"2"|"to detain"|"vasthouden"|"gözaltına almak"|"NL"|"TR"
"حَبِطَ"|"ح ب ط"|"حَبِطَ"|"ح ب ط"|"I"|"12"|"to become worthless"|"waardeloos worden"|"değersiz hale gelmek"|"NL"|"TR"
"أَحْبَطَ"|"ح ب ط"|"أَحْبَطَ"|"ح ب ط"|"IV"|"4"|"to make worthless"|"waardeloos maken"|"değersiz hale getirmek "|"NL"|"TR"
"حَجَّ"|"ح ج ج"|"حَجَّ"|"ح ج ج"|"I"|"1"|"to perform pilgrimage, to argue"|"bedevaart uitvoeren, betogen"|"hac gerçekleştirmek, tartışmak"|"NL"|"TR"
"حَآجَّ"|"ح ج ج"|"حَآجَّ"|"ح ج ج"|"III"|"12"|"to argue"|"ruzie maken"|"iddia etmek"|"NL"|"TR"
"يَتَحَآجُّ"|"ح ج ج"|"يَتَحَآجُّ"|"ح ج ج"|"VI"|"1"|"to dispute"|"betwisten"|"itiraz etmek"|"NL"|"TR"
"تُحَدِّثُ"|"ح د ث"|"تُحَدِّثُ"|"ح د ث"|"II"|"3"|"to report, to narrate"|"melden, vertellen"|"rapor etmek, anlatmak"|"NL"|"TR"
"يُحْدِثُ"|"ح د ث"|"يُحْدِثُ"|"ح د ث"|"IV"|"3"|"to cause, to bring about"|"veroorzaken, bewerkstelligen"|"sebep olmak, meydana getirmek"|"NL"|"TR"
"يُحَآدُّ"|"ح د د"|"يُحَآدُّ"|"ح د د"|"I"|"2"|"to oppose"|"zich verzetten tegen"|"karşı çıkmak"|"NL"|"TR"
"حَآدَّ"|"ح د د"|"حَآدَّ"|"ح د د"|"III"|"2"|"to oppose"|"zich verzetten tegen"|"karşı çıkmak"|"NL"|"TR"
"يَحْذَرُ"|"ح ذ ر"|"يَحْذَرُ"|"ح ذ ر"|"I"|"12"|"to fear, to beware"|"bang zijn, oppassen"|"korkmak, dikkat etmek"|"NL"|"TR"
"يُحَذِّرُ"|"ح ذ ر"|"يُحَذِّرُ"|"ح ذ ر"|"II"|"2"|"to warn"|"waarschuwen"|"uyarmak"|"NL"|"TR"
"حَارَبَ"|"ح ر ب"|"حَارَبَ"|"ح ر ب"|"III"|"2"|"to wage war"|"oorlog voeren"|"savaşmak"|"NL"|"TR"
"تَحْرُثُ"|"ح ر ث"|"تَحْرُثُ"|"ح ر ث"|"I"|"1"|"to sow"|"zaaien"|"ekmek"|"NL"|"TR"
"حَرَصْ"|"ح ر ص"|"حَرَصْ"|"ح ر ص"|"I"|"3"|"to desire"|"verlangen"|"arzulamak"|"NL"|"TR"
"حَرِّضِ"|"ح ر ض"|"حَرِّضِ"|"ح ر ض"|"II"|"2"|"to urge, to encourage"|"aandringen, aanmoedigen"|"teşvik etmek, cesaretlendirmek"|"NL"|"TR"
"يُحَرِّفُ"|"ح ر ف"|"يُحَرِّفُ"|"ح ر ف"|"II"|"4"|"to distort"|"vervormen"|"çarpıtmak"|"NL"|"TR"
"حَرِّقُ"|"ح ر ق"|"حَرِّقُ"|"ح ر ق"|"II"|"3"|"to burn"|"branden"|"yanmak"|"NL"|"TR"
"ٱحْتَرَقَتْ"|"ح ر ق"|"ٱحْتَرَقَتْ"|"ح ر ق"|"VIII"|"1"|"to burn"|"branden"|"yanmak"|"NL"|"TR"
"تُحَرِّكْ"|"ح ر ك"|"تُحَرِّكْ"|"ح ر ك"|"II"|"1"|"to move"|"bewegen"|"hareket etmek"|"NL"|"TR"
"حَرَّمَ"|"ح ر م"|"حَرَّمَ"|"ح ر م"|"II"|"39"|"to forbid, to make unlawful"|"verbieden, onwettig maken"|"yasaklamak, yasadışı hale getirmek"|"NL"|"TR"
"تَحَرَّ"|"ح ر ي"|"تَحَرَّ"|"ح ر ي"|"I"|"1"|"to seek"|"zoeken"|"aramak"|"NL"|"TR"
"يَحْزُن"|"ح ز ن"|"يَحْزُن"|"ح ز ن"|"I"|"37"|"to grieve"|"rouwen"|"üzülmek"|"NL"|"TR"
"حَسِبَ"|"ح س ب"|"حَسِبَ"|"ح س ب"|"I"|"44"|"to think"|"denken"|"düşünmek"|"NL"|"TR"
"حَاسَبْ"|"ح س ب"|"حَاسَبْ"|"ح س ب"|"III"|"3"|"to take to account"|"afrekenen met"|"hesaba çekmek"|"NL"|"TR"
"يَحْتَسِبُ"|"ح س ب"|"يَحْتَسِبُ"|"ح س ب"|"VIII"|"3"|"to take into account, to expect, to think"|"rekening gehouden met,verwachten, denken"|"hesaba katmak, beklemek, düşünmek"|"NL"|"TR"
"حَسَدَ"|"ح س د"|"حَسَدَ"|"ح س د"|"I"|"3"|"to envy"|"benijden"|"gıpta etmek"|"NL"|"TR"
"يَسْتَحْسِرُ"|"ح س ر"|"يَسْتَحْسِرُ"|"ح س ر"|"X"|"1"|"to tire"|"moe worden"|"yorulmak"|"NL"|"TR"
"تَحُسُّ"|"ح س س"|"تَحُسُّ"|"ح س س"|"I"|"1"|"to inquire, to kill"|"informeren, doden"|"Bilgi almak, öldürmek"|"NL"|"TR"
"أَحَسَّ"|"ح س س"|"أَحَسَّ"|"ح س س"|"IV"|"3"|"to perceive"|"waarnemen"|"algılamak"|"NL"|"TR"
"تَحَسَّسُ"|"ح س س"|"تَحَسَّسُ"|"ح س س"|"V"|"1"|"to inquire"|"informeren"|"sormak"|"NL"|"TR"
"حَسُنَ"|"ح س ن"|"حَسُنَ"|"ح س ن"|"I"|"3"|"to be the best, to be good"|"de beste zijn, goed zijn"|"en iyi olmak, iyi olmak"|"NL"|"TR"
"أَحْسَنَ"|"ح س ن"|"أَحْسَنَ"|"ح س ن"|"IV"|"21"|"to do good"|"goed doen"|"iyilik etmek"|"NL"|"TR"
"حَشَرَ"|"ح ش ر"|"حَشَرَ"|"ح ش ر"|"I"|"37"|"to gather, to raise"|"verzamelen, verhogen"|"toplamak, yükseltmek"|"NL"|"TR"
"حَصْحَصَ"|"ح ص ح ص"|"حَصْحَصَ"|"ح ص ح ص"|"I"|"1"|"to become manifest"|"zichtbaar worden,"|"tezahür olmak"|"NL"|"TR"
"حَصَد"|"ح ص د"|"حَصَد"|"ح ص د"|"I"|"1"|"to reap"|"maaien"|"biçmek"|"NL"|"TR"
"حَصِرَتْ"|"ح ص ر"|"حَصِرَتْ"|"ح ص ر"|"I"|"2"|"to restrain, to besiege"|"bedwingen, belegeren"|"dizginlemek, kuşatmak"|"NL"|"TR"
"أُحْصِرُ"|"ح ص ر"|"أُحْصِرُ"|"ح ص ر"|"IV"|"2"|"to hold back, to wrap up"|"inhouden, inpakken"|"geri tutmak, sarmak"|"NL"|"TR"
"حُصِّلَ"|"ح ص ل"|"حُصِّلَ"|"ح ص ل"|"II"|"1"|"to make apparent"|"duidelijk maken"|"görünür kılmak"|"NL"|"TR"
"أَحْصَنَتْ"|"ح ص ن"|"أَحْصَنَتْ"|"ح ص ن"|"IV"|"5"|"to guard, to protect"|"bewaken, beschermen"|"korumak, korumak"|"NL"|"TR"
"أَحْصَىٰ"|"ح ص ي"|"أَحْصَىٰ"|"ح ص ي"|"IV"|"10"|"to count, to calculate, to enumerate"|"tellen, berekenen, noemen"|"saymak, hesaplamak, numaralandırmak"|"NL"|"TR"
"حَضَرَ"|"ح ض ر"|"حَضَرَ"|"ح ض ر"|"I"|"7"|"to approach, to attend"|"benaderen, bijwonen"|"yaklaşım, katılmak"|"NL"|"TR"
"أَحْضَرَتْ"|"ح ض ر"|"أَحْضَرَتْ"|"ح ض ر"|"IV"|"3"|"to bring"|"brengen"|"getirmek"|"NL"|"TR"
"يَحُضُّ"|"ح ض ض"|"يَحُضُّ"|"ح ض ض"|"I"|"2"|"to feel the urge"|"de drang voelen"|"dürtü hissetmek"|"NL"|"TR"
"تَحَٰٓضُّ"|"ح ض ض"|"تَحَٰٓضُّ"|"ح ض ض"|"VI"|"1"|"to feel the urge"|"de drang voelen"|"dürtü hissetmek"|"NL"|"TR"
"يَحْطِمَ"|"ح ط م"|"يَحْطِمَ"|"ح ط م"|"I"|"1"|"to crush"|"verpletteren"|"ezmek"|"NL"|"TR"
"حَفِظَ"|"ح ف ظ"|"حَفِظَ"|"ح ف ظ"|"I"|"7"|"to guard, to protect"|"bewaken, beschermen"|"korumak, korumak"|"NL"|"TR"
"يُحَافِظُ"|"ح ف ظ"|"يُحَافِظُ"|"ح ف ظ"|"III"|"4"|"to guard"|"waken"|"korumak"|"NL"|"TR"
"ٱسْتُحْفِظُ"|"ح ف ظ"|"ٱسْتُحْفِظُ"|"ح ف ظ"|"X"|"1"|"to be entrusted"|""|""|"NL"|"TR"
"حَفَفْ"|"ح ف ف"|"حَفَفْ"|"ح ف ف"|"I"|"1"|"to border"|"grenzen"|"sınır koymak"|"NL"|"TR"
"يُحْفِ"|"ح ف و"|"يُحْفِ"|"ح ف و"|"IV"|"1"|"to press"|"drukken"|"basmak"|"NL"|"TR"
"حَقَّ"|"ح ق ق"|"حَقَّ"|"ح ق ق"|"I"|"20"|"to justify, to prove true"|"rechtvaardigen, de waarheid bewijzen"|"haklı çıkarmak, Gerçekği kanıtlamak"|"NL"|"TR"
"يُحِقَّ"|"ح ق ق"|"يُحِقَّ"|"ح ق ق"|"IV"|"4"|"to justify, to establish"|"rechtvaardigen, vaststellen"|"haklı çıkarmak, kurmak"|"NL"|"TR"
"ٱسْتَحَقَّ"|"ح ق ق"|"ٱسْتَحَقَّ"|"ح ق ق"|"X"|"2"|"to be guilty, to have right"|""|""|"NL"|"TR"
"حَكَمَ"|"ح ك م"|"حَكَمَ"|"ح ك م"|"I"|"45"|"to judge"|"oordelen"|"yargılamak"|"NL"|"TR"
"يُحَكِّمُ"|"ح ك م"|"يُحَكِّمُ"|"ح ك م"|"II"|"2"|"to make judge"|"laten ordelen"|"yargılandırmak"|"NL"|"TR"
"أُحْكِمَتْ"|"ح ك م"|"أُحْكِمَتْ"|"ح ك م"|"IV"|"2"|"to perfect, to establish"|"perfectioneren, vaststellen"|"mükemmelleştirmek, kurmak"|"NL"|"TR"
"يَتَحَاكَمُ"|"ح ك م"|"يَتَحَاكَمُ"|"ح ك م"|"VI"|"1"|"to judge"|"oordelen"|"yargılamak"|"NL"|"TR"
"حَلَفْ"|"ح ل ف"|"حَلَفْ"|"ح ل ف"|"I"|"12"|"to swear"|"zweren"|"yemin etmek"|"NL"|"TR"
"تَحْلِقُ"|"ح ل ق"|"تَحْلِقُ"|"ح ل ق"|"I"|"1"|"to shave"|"scheren"|"tıraş etmek"|"NL"|"TR"
"حَلَلْ"|"ح ل ل"|"حَلَلْ"|"ح ل ل"|"I"|"14"|"to descend, to be lawful"|"afdalen, rechtmatig zijn"|"inmek, helal olmak"|"NL"|"TR"
"أَحَلَّ"|"ح ل ل"|"أَحَلَّ"|"ح ل ل"|"IV"|"20"|"to make lawful"|"wettig maken"|"helal yapmak"|"NL"|"TR"
"حُلُّ"|"ح ل ي"|"حُلُّ"|"ح ل ي"|"II"|"4"|"to adorn"|"versieren"|"süslemek"|"NL"|"TR"
"يُحْمَدُ"|"ح م د"|"يُحْمَدُ"|"ح م د"|"I"|"1"|"to praise"|"prijzen"|"övmek"|"NL"|"TR"
"حَمَلَ"|"ح م ل"|"حَمَلَ"|"ح م ل"|"I"|"41"|"to carry, to bear"|"dragen, dragen"|"taşımak, katlanmak"|"NL"|"TR"
"حُمِّلَ"|"ح م ل"|"حُمِّلَ"|"ح م ل"|"II"|"5"|"to place, to entrust"|"plaatsvinden, toe vertrouwen"|"yerleştirmek, emanet etmek"|"NL"|"TR"
"ٱحْتَمَلَ"|"ح م ل"|"ٱحْتَمَلَ"|"ح م ل"|"VIII"|"3"|"to carry, to bear"|"dragen, dragen"|"taşımak, katlanmak"|"NL"|"TR"
"يُحْمَىٰ"|"ح م ي"|"يُحْمَىٰ"|"ح م ي"|"I"|"1"|"to heat"|"verwarmen"|"ısıtmak"|"NL"|"TR"
"تَحْنَثْ"|"ح ن ث"|"تَحْنَثْ"|"ح ن ث"|"I"|"1"|"to break oath"|"om eed breken"|"yemin kırmak"|"NL"|"TR"
"أَحْتَنِكَ"|"ح ن ك"|"أَحْتَنِكَ"|"ح ن ك"|"VIII"|"1"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"ٱسْتَحْوَذَ"|"ح و ذ"|"ٱسْتَحْوَذَ"|"ح و ذ"|"X"|"2"|"to overcome, to have advantage"|"overwinnen, voordeel hebben"|"üstesinden gelmek, avantajı olmak"|"NL"|"TR"
"يَحُورَ"|"ح و ر"|"يَحُورَ"|"ح و ر"|"I"|"1"|"to return"|"terugbrengen"|"dönmek"|"NL"|"TR"
"يُحَاوِرُ"|"ح و ر"|"يُحَاوِرُ"|"ح و ر"|"III"|"2"|"to talk"|"praten"|"konuşmak"|"NL"|"TR"
"أَحَاطَ"|"ح و ط"|"أَحَاطَ"|"ح و ط"|"IV"|"17"|"to surround, to encompass"|"omringen, omvatten"|"kuşatmak, kapsamak"|"NL"|"TR"
"حَالَ"|"ح و ل"|"حَالَ"|"ح و ل"|"I"|"3"|"to come"|"komen"|"gelmek"|"NL"|"TR"
"تَحِيدُ"|"ح ي د"|"تَحِيدُ"|"ح ي د"|"I"|"1"|"to avoid"|"vermijden"|"kaçınmak"|"NL"|"TR"
"يَحِضْ"|"ح ي ض"|"يَحِضْ"|"ح ي ض"|"I"|"1"|"to menstruate"|"menstrueren"|"adet görmek"|"NL"|"TR"
"يَحِيفَ"|"ح ي ف"|"يَحِيفَ"|"ح ي ف"|"I"|"1"|"to be unjust"|"onrechtvaardig zijn"|"haksız olmak"|"NL"|"TR"
"حَاقَ"|"ح ي ق"|"حَاقَ"|"ح ي ق"|"I"|"10"|"to surround, to encompass, to envelope"|"omringen, omvatten, enveloppen"|"kuşatmak, kapsamak, sarmalamak"|"NL"|"TR"
"حَىَّ"|"ح ي ي"|"حَىَّ"|"ح ي ي"|"I"|"7"|"to live"|"leven"|"yaşamak"|"NL"|"TR"
"حَيَّ"|"ح ي ي"|"حَيَّ"|"ح ي ي"|"II"|"4"|"to greet"|"begroeten"|"selamlamak"|"NL"|"TR"
"أَحْيَا"|"ح ي ي"|"أَحْيَا"|"ح ي ي"|"IV"|"51"|"to give life"|"leven geven"|"hayat vermek"|"NL"|"TR"
"يَسْتَحْىِۦٓ"|"ح ي ي"|"يَسْتَحْىِۦٓ"|"ح ي ي"|"X"|"9"|"to let live, to be shy, to be ashamed"|"laten leven, verlegen zijn, schamen"|"yaşatmak, utangaç olmak, utanılacak"|"NL"|"TR"
"أَخْبَتُ"|"خ ب ت"|"أَخْبَتُ"|"خ ب ت"|"IV"|"2"|"to be humble"|"nederig zijn"|"mütevazı olmak"|"NL"|"TR"
"خَبُثَ"|"خ ب ث"|"خَبُثَ"|"خ ب ث"|"I"|"1"|"to be bad"|"slecht zijn"|"Kötü olmak"|"NL"|"TR"
"يَتَخَبَّطُ"|"خ ب ط"|"يَتَخَبَّطُ"|"خ ب ط"|"V"|"1"|"to confound"|"verwarren"|"şaşırtmak"|"NL"|"TR"
"خَبَتْ"|"خ ب و"|"خَبَتْ"|"خ ب و"|"I"|"1"|"to subside"|"laten verdwijnen"|"çökmek"|"NL"|"TR"
"خَتَمَ"|"خ ت م"|"خَتَمَ"|"خ ت م"|"I"|"5"|"to seal"|"verzegelen"|"mühürlemek"|"NL"|"TR"
"يَخْدَعُ"|"خ د ع"|"يَخْدَعُ"|"خ د ع"|"I"|"2"|"to deceive"|"misleiden"|"aldatmak"|"NL"|"TR"
"يُخَٰدِعُ"|"خ د ع"|"يُخَٰدِعُ"|"خ د ع"|"III"|"2"|"to deceive"|"misleiden"|"aldatmak"|"NL"|"TR"
"يَخْذُلْ"|"خ ذ ل"|"يَخْذُلْ"|"خ ذ ل"|"I"|"1"|"to forsake"|"verzaken/verlaten"|"terketmek"|"NL"|"TR"
"يُخْرِبُ"|"خ ر ب"|"يُخْرِبُ"|"خ ر ب"|"IV"|"1"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"خَرَجَ"|"خ ر ج"|"خَرَجَ"|"خ ر ج"|"I"|"53"|"to go out, to come out, to depart, to leave"|"uitgaan, uitkomen, vertrekken, vertrekken"|"dışarı çıkmak, çıkmak, ayrılmak, terketmek"|"NL"|"TR"
"أَخْرَجَ"|"خ ر ج"|"أَخْرَجَ"|"خ ر ج"|"IV"|"99"|"to bring forth, to drive out"|"voortbrengen, verdrijven"|"meydana getirmek, çıkarmak"|"NL"|"TR"
